,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
13633,13634,2384,2,63.7857,35.7236
13766,13767,1374,3,64.8661,36.4953
8392,8393,855,2,66.4538,31.0807
24480,24481,553,2,69.1224,33.4896
40602,40603,974,1,70.9089,36.9041
2791,2792,631,2,64.76786,31.97457
39673,39674,1612,1,69.1195,34.7734
26939,26940,739,2,68.9654,33.7915
32686,32687,970,1,69.5981,37.1513
23785,23786,6887,2,70.1243,33.6301
44783,44784,1565,3,64.8419,36.1043
28694,28695,867,2,70.1787,34.671
1985,1986,1028,2,64.2567,31.7182
34642,34643,1174,3,68.7178,36.7414
20980,20981,1422,1,65.923,35.9945
7826,7827,700,2,65.4112,31.4975
5661,5662,554,2,65.1266,33.1419
15626,15627,573,1,64.1825,34.3202
10818,10819,643,3,64.2687,35.6884
24841,24842,552,2,69.1573,34.2743
832,833,1092,1,62.1077,34.8547
4063,4064,503,1,61.6605,31.9451
7901,7902,901,2,65.6,31.4342
38849,38850,1135,2,68.7387,33.8566
40808,40809,660,8,69.7438,35.036
60,61,712,1,62.2987,35.1056
40895,40896,910,2,69.3191,35.0088
14934,14935,573,4,65.8695,37.4618
31583,31584,900,1,67.0208,34.3844
40543,40544,1137,2,65.4563,36.2168
4749,4750,505,2,65.0909,32.3807
19944,19945,673,2,68.5244,32.7109
4254,4255,2500,2,62.14,32.4957
43869,43870,625,1,69.5428,36.2282
21434,21435,1150,1,66.9823,36.6413
7737,7738,595,2,65.36435999999999,31.479229999999998
7124,7125,1141,2,63.3375,35.5753
21657,21658,1019,1,66.5152,35.8963
36872,36873,33616,1,69.0772,34.8303
1932,1933,1603,2,64.0635,31.4911
2172,2173,1210,2,64.2988,31.6543
4714,4715,858,2,65.00546,32.71035
21584,21585,3138,3,66.3691,35.9654
1451,1452,524,1,64.8552,33.3265
35330,35331,766,3,70.3649,37.2492
19324,19325,514,2,67.7997,32.7863
17809,17810,515,1,65.3717,35.0207
