OBJECTID,POPULATION,LANG_CODE,LAT_Y,LON_X,DIST_CODE,PROV_CODE,AFG_UID
13968,73,2,31.9408,66.5624,2404,24,ZBL-TWJ-090
13969,31,2,31.9552,66.5564,2404,24,ZBL-TWJ-047
13970,89,2,31.9209,66.6115,2404,24,ZBL-TWJ-114
13971,53,2,31.965,66.5782,2404,24,ZBL-TWJ-095
13972,91,2,31.9191,66.5714,2404,24,ZBL-TWJ-080
13973,26,2,31.9204,66.6028,2404,24,ZBL-TWJ-067
13974,114,2,31.9357,66.5607,2404,24,ZBL-TWJ-084
13975,64,2,31.9121,66.5715,2404,24,ZBL-TWJ-045
13976,12,2,31.949,66.6404,2404,24,ZBL-TWJ-026
13977,43,2,31.9523,66.6753,2404,24,ZBL-TWJ-117
13978,32,2,31.9304,66.651,2404,24,ZBL-TWJ-005
13979,122,2,31.9694,66.6404,2404,24,ZBL-TWJ-057
13980,33,2,31.9745,66.6534,2404,24,ZBL-TWJ-129
13981,31,2,31.9488,66.6586,2404,24,ZBL-TWJ-041
13982,29,2,31.9411,66.6328,2404,24,ZBL-TWJ-102
13983,209,2,31.9435,66.6153,2404,24,ZBL-TWJ-060
13984,18,2,31.9167,66.6475,2404,24,ZBL-TWJ-126
13985,33,2,31.9585,66.6367,2404,24,ZBL-TWJ-094
13986,68,2,32.134,66.6396,2403,24,ZBL-MZN-011
14095,400,2,32.4581,66.8283,2402,24,ZBL-AG2-133
14096,2086,2,32.6286,66.794,2408,24,ZBL-DAN-112
14097,800,2,32.64,66.767,2408,24,ZBL-DAN-122
14098,450,2,32.648,66.81,2408,24,ZBL-DAN-124
14099,375,2,32.657,66.815,2408,24,ZBL-DAN-125
14100,400,2,32.664,66.804,2408,24,ZBL-DAN-126
14101,400,2,32.6663,66.839,2408,24,ZBL-DAN-127
14102,250,2,32.6163,66.8652,2408,24,ZBL-DAN-128
14103,225,2,32.687,66.807,2408,24,ZBL-DAN-130
14104,500,2,32.706,66.745,2408,24,ZBL-DAN-134
14105,400,2,32.718,66.743,2408,24,ZBL-DAN-135
14106,450,2,32.4044,66.8011,2402,24,ZBL-AG2-134
14107,550,2,32.4047,66.8322,2402,24,ZBL-AG2-135
14108,2006,2,32.5419,66.6997,2408,24,ZBL-DAN-113
14109,250,2,32.4122,66.7394,2408,24,ZBL-DAN-114
14110,200,2,32.4697,66.7661,2408,24,ZBL-DAN-115
14111,739,2,32.5336,66.7372,2408,24,ZBL-DAN-116
14112,250,2,32.621,66.652,2408,24,ZBL-DAN-117
14113,150,2,32.627,66.7002,2408,24,ZBL-DAN-118
14114,150,2,32.642,66.662,2408,24,ZBL-DAN-119
14115,250,2,32.604,66.669,2408,24,ZBL-DAN-120
14116,1000,2,32.623,66.757,2408,24,ZBL-DAN-121
14117,700,2,32.635,66.726,2408,24,ZBL-DAN-123
14118,300,2,32.696,66.717,2408,24,ZBL-DAN-131
14119,250,2,32.687,66.721,2408,24,ZBL-DAN-132
14120,300,2,32.687,66.738,2408,24,ZBL-DAN-133
14121,400,2,32.3634,66.7771,2402,24,ZBL-AG2-130
15751,85,1,32.9471,67.333,2407,24,ZBL-KAF-072
15752,310,1,32.9129,67.3735,2407,24,ZBL-KAF-081
18172,93,1,32.8846,67.4118,2407,24,ZBL-KAF-067
18173,206,1,32.8634,67.3927,2407,24,ZBL-KAF-069
18174,242,1,32.8723,67.3881,2407,24,ZBL-KAF-075
18175,293,1,32.9023,67.3709,2407,24,ZBL-KAF-079
18176,240,1,32.8577,67.38,2407,24,ZBL-KAF-082
19443,158,2,32.7144,67.4473,2406,24,ZBL-SHJ-084
19451,476,2,32.6026,67.5754,2406,24,ZBL-SHJ-053
19452,178,2,32.5862,67.5626,2406,24,ZBL-SHJ-009
19453,290,2,32.6081,67.5845,2406,24,ZBL-SHJ-147
19454,42,2,32.6182,67.5489,2406,24,ZBL-SHJ-094
19455,411,2,32.6027,67.5493,2406,24,ZBL-SHJ-022
19456,164,2,32.5952,67.5649,2406,24,ZBL-SHJ-015
19457,291,2,32.5971,67.5735,2406,24,ZBL-SHJ-158
19458,645,2,32.6096,67.5925,2406,24,ZBL-SHJ-123
19460,791,2,32.6832,67.4921,2406,24,ZBL-SHJ-126
